"plot_id","dataset_id","plot_name","prinv","other_authors","country_iso3","latitude","longitude","plot_area","plot_length","plot_width","plot_radius","plot_shape","min_diam_thresh","tree_diff","network","dat_source","continent","precise_loc","other_people","default_pom","has_mode","date_res","all_dates","min_census","max_census","census_period","n_census","multi_census","per_height","has_height_ge50per","wd_region","region","teow_ecoregion","teow_biome","teow_biome_short","tdwg_l2","chaveE","kyle_prinv_group","kyle_veg_broad","kyle_veg_class","kyle_veg_narrow","kyle_veg_group","kyle_data_use_group_notes","kyle_data_use_group","kyle_veg_fs","fp_biogeographical_region","fp_plot_area_location","fp_forest_elevation","fp_forest_edaphic_type","fp_forest_composition","fp_forest_status","fp_forest_moisture","fp_plot_id","elev_srtm","prot_area","manip","woodcut","dom_graze","fire_intens","herbiv_intens","herbiv_big","windy","fire","fire_freq","fire_last","cyclone_last","drought_last","frost_last","wind_last","earthquake_last","landslide_last","flood_last","human_b_rem","rain_era_mean","pote_era_mean","mwd_era_mean","rain_chirps_mean","burncount","burnedyears","has_fire","fire_prob","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bdod_0.5cm","bdod_15.30cm","bdod_5.15cm","cec_0.5cm","cec_15.30cm","cec_5.15cm","cfvo_0.5cm","cfvo_15.30cm","cfvo_5.15cm","clay_0.5cm","clay_15.30cm","clay_5.15cm","nitrogen_0.5cm","nitrogen_15.30cm","nitrogen_5.15cm","ocd_0.5cm","ocd_15.30cm","ocd_5.15cm","ocs_0.30cm","phh2o_0.5cm","phh2o_15.30cm","phh2o_5.15cm","sand_0.5cm","sand_15.30cm","sand_5.15cm","silt_0.5cm","silt_15.30cm","silt_5.15cm","soc_0.5cm","soc_15.30cm","soc_5.15cm","bdod_0.30cm","cec_0.30cm","cfvo_0.30cm","clay_0.30cm","nitrogen_0.30cm","ocd_0.30cm","phh2o_0.30cm","sand_0.30cm","silt_0.30cm","soc_0.30cm","wet_forest","buff_dist","stem_track","dsfs_id","has_disturb","hubau"
"BVT-01","BVT","Boa Vista Tupim 01","Domingos Cardoso;Tomas F Domingues;Jon Lloyd;Peter Moonlight;Débora Christina Zuanny","Elmar Veenendaal","BRA",-12.725351,-40.71064504,0.5,100,50,NA,"other",1,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2018.215;2024.317",2018.215,2024.317,6.102,2,TRUE,96.65413534,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.481131554,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga","Fazenda Esperança","Lower-Montane","Terra Firma","Mixed forest","Selective logging ","Dry",NA,497,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,778.5683575,-225.7175367,-290.5982331,671.2542005,0,0,FALSE,0,223,101,73,1374,290,152,138,233,206,236,202,721,107,18,51,289,71,254,90,120,129,126,192,162,165,58,87,67,250,317,231,2035,1020,1384,264,147,196,35,58,57,57,604,541,611,146,141,158,307,121,159,126.5,168,75.5,277.1666667,1310.5,182.8333333,57.16666667,574.8333333,147.5,164.6666667,FALSE,"0",TRUE,"Forest_BVT_1",TRUE,FALSE
"CJU-01","CJU","Cajueiro 01","Jon Lloyd;Tomas F Domingues;Domingos Cardoso;Rubens Manoel dos Santos","Peter Moonlight;Mário Marcos do Espírito Santo","BRA",-14.96501667,-43.91636667,0.5,100,50,NA,"rectangle",5,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2018.1575;2023.6835",2018.1575,2023.6835,5.526,2,TRUE,97.30458221,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.449957609,"RubensSantos","Forest","Arid_forest","Caatinga_arborea","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,469,TRUE,FALSE,TRUE,TRUE,1,0,FALSE,FALSE,TRUE,10,"22/07/2012",NA,NA,NA,NA,NA,NA,NA,TRUE,822.0458271,-966.5369445,-1035.040763,823.7166606,0,0,FALSE,0,243,126,68,1364,329,146,183,250,223,256,223,836,200,0,96,497,4,248,10,132,138,136,118,97,106,34,41,34,263,309,265,1502,722,1276,225,109,188,32,60,59,59,483,458,485,254,233,250,159,60,115,136.3333333,103.5,37.5,286.6666667,1036.666667,154.6666667,59.16666667,471.1666667,242.1666667,94.83333333,FALSE,"10",TRUE,"Forest_BAH_BON_CJU_DEC_JIB_LCJ_PNP_SER_1",TRUE,FALSE
"CND-01","CND","Canudos 01","Jon Lloyd;Tomas F Domingues;Domingos Cardoso;Peter Moonlight;Débora Christina Zuanny",NA,"BRA",-9.97135702,-39.00576,0.5,100,50,NA,"rectangle",1,TRUE,"Nordeste","fp","South America",TRUE,"Elmar Veenendaal",1.3,TRUE,"YYYY.DDD","2018.241;2024.317",2018.241,2024.317,6.076,2,TRUE,99.31097841,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",1.094958305,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,532,TRUE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,338.0802551,-251.4050658,-279.5784204,497.513705,0,0,FALSE,0,228,112,71,1758,308,151,157,241,218,245,202,513,85,13,50,211,49,205,81,135,139,136,187,174,177,76,93,87,238,277,231,1122,951,1092,199,139,169,27,68,68,68,588,563,595,174,160,173,142,107,113,137.3333333,177.1666667,88.16666667,255.1666667,1026.5,159,68,577.8333333,166.6666667,114.8333333,FALSE,"20",TRUE,"Forest_CND_1",TRUE,FALSE
"CTI-01","CTI","Caetité 01","Jon Lloyd;Tomas F Domingues;Rubens Manoel dos Santos;Domingos Cardoso","Peter Moonlight","BRA",-14.22475,-42.53016667,0.5,100,50,NA,"rectangle",5,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2018.155",2018.155,2018.155,0,1,FALSE,99.626401,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.318949938,"RubensSantos","Forest","Arid_forest","Caatinga_arborea","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.9938161,-282.6858967,-345.602048,695.4805876,0,0,FALSE,0,211,106,73,1223,277,133,144,219,193,221,193,903,197,5,89,524,18,366,27,129,138,134,105,98,100,71,82,69,326,351,325,1800,1319,1666,236,147,221,45,56,55,55,443,422,442,231,226,233,201,99,172,135.1666667,99.83333333,75.83333333,338.1666667,1514.833333,186.5,55.16666667,432.1666667,229.1666667,140.3333333,FALSE,"0",FALSE,"Forest_CTI_CTT_1",FALSE,FALSE
"GBR-01","GBR","Gruta dos Brejões 01","Tomas F Domingues;Jon Lloyd;Domingos Cardoso;Luciano Paganucci de Queiroz","Rubens Manoel dos Santos;Peter Moonlight","BRA",-11.014017,-41.439167,0.5,100,50,NA,"rectangle",5,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2017.611;2022.697",2017.611,2022.697,5.086,2,TRUE,74.32915921,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.605727851,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"all_studies","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,569,TRUE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,"10/07/2022",NA,NA,NA,NA,NA,TRUE,454.637533,-250.857784,-288.744245,479.5262359,0,0,FALSE,0,235,115,74,1285,307,153,154,245,215,246,215,545,105,1,91,301,3,248,3,139,141,140,184,160,159,69,106,79,262,281,253,1364,966,1166,204,123,174,29,63,64,63,542,533,551,196,186,197,150,103,121,140.3333333,163.6666667,90.83333333,268.5,1099,153.5,63.5,540.5,191.3333333,116.8333333,FALSE,"0",TRUE,"Forest_GBR_MOR_1",TRUE,FALSE
"GBR-02","GBR","Gruta dos Brejões 02","Tomas F Domingues;Jon Lloyd;Domingos Cardoso;Luciano Paganucci de Queiroz;Peter Moonlight","Rubens Manoel dos Santos;Mário Marcos do Espírito Santo;Débora Christina Zuanny","BRA",-11.020733,-41.4106,0.5,100,50,NA,"rectangle",5,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2017.622;2022.7055",2017.622,2022.7055,5.0835,2,TRUE,72.63242376,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.603591859,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"all_studies","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,634,FALSE,FALSE,TRUE,TRUE,1,0,FALSE,FALSE,TRUE,NA,"14/09/2022",NA,"10/07/2022",NA,NA,NA,NA,NA,TRUE,454.637533,-250.857784,-288.744245,488.7222502,0,0,FALSE,0,230,113,74,1290,302,150,152,239,210,241,210,555,105,1,89,304,4,249,4,139,141,139,178,166,166,63,90,73,262,288,241,1405,1023,1228,181,114,157,28,64,64,64,536,519,547,202,193,212,176,68,135,140,168,79.83333333,268,1155,139.5,64,531.1666667,200.8333333,108.3333333,FALSE,"0",TRUE,"Forest_GBR_MOR_1",TRUE,FALSE
"IBD-01","IBD","Ibiraba Dunas 01","Tomas F Domingues;Jon Lloyd;Domingos Cardoso;Luciano Paganucci de Queiroz;Débora Christina Zuanny;Peter Moonlight","Rubens Manoel dos Santos","BRA",-10.787033,-42.81935,0.5,100,50,NA,"rectangle",1,TRUE,"Nordeste","fp","South America",TRUE,"Uriel de Jesus Araújo Pinto;Antonio Belo;Gabriela de Araujo Silva",1.3,TRUE,"YYYY.DDD","2017.622;2023.926",2017.622,2023.926,6.304,2,TRUE,100,TRUE,"Neotropics","Tropical Americas","Brazilian Atlantic dry forests","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.684065223,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","White sand","Mixed forest","Old-growth","Dry",NA,417,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,"10/07/2022",NA,NA,NA,NA,NA,TRUE,527.1671312,-365.384082,-409.3146763,624.3439839,0,0,FALSE,0,258,139,76,905,345,163,182,264,244,266,244,629,116,0,91,325,2,226,2,139,138,138,177,167,159,60,73,54,216,256,210,1179,773,913,214,120,195,28,65,66,65,572,532,578,211,211,212,153,82,103,138.1666667,166,64.5,234,887.3333333,160.6666667,65.5,554,211.3333333,100.8333333,FALSE,"1",TRUE,"Forest_IBD_1",TRUE,FALSE
"IBD-02","IBD","Ibiraba Dunas 02","Jon Lloyd;Tomas F Domingues;Domingos Cardoso;Luciano Paganucci de Queiroz;Peter Moonlight;Débora Christina Zuanny","Rubens Manoel dos Santos","BRA",-10.785317,-42.7757,0.5,100,50,NA,"rectangle",1,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2017.6275;2024.413",2017.6275,2024.413,6.7855,2,TRUE,99.5951417,TRUE,"Neotropics","Tropical Americas","Brazilian Atlantic dry forests","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.678693235,"Cardoso","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","White sand","Mixed forest","Old-growth","Dry",NA,415,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,"10/07/2022",NA,NA,NA,NA,NA,TRUE,527.1671312,-365.384082,-409.3146763,618.6169948,0,0,FALSE,0,259,139,74,988,347,161,186,264,243,267,243,634,116,0,91,327,2,125,2,143,145,142,173,157,158,60,67,61,208,273,207,1100,636,820,211,111,175,28,64,65,64,585,526,582,207,201,211,127,71,90,143.6666667,160,63.83333333,240.1666667,774.6666667,149,64.5,554.5,205.3333333,86.66666667,FALSE,"20",TRUE,"Forest_IBD_1",TRUE,FALSE
"JUV-01","JUV","Juvenilia 01","Tomas F Domingues;Jon Lloyd;Rubens Manoel dos Santos;Domingos Cardoso","Peter Moonlight","BRA",-14.425,-44.15722,0.5,100,50,NA,"rectangle",5,TRUE,"Nordeste","fp","South America",TRUE,NA,1.3,TRUE,"YYYY.DDD","2018.115;2023.941",2018.115,2023.941,5.826,2,TRUE,95.99417334,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.417800635,"RubensSantos","Forest","Arid_forest","Caatinga_arborea","Caatinga_DryForest",NA,"biomass","DryForest","Caatinga",NA,"Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818.1471313,-296.0433708,-364.2222984,863.440641,0,0,FALSE,0,242,129,70,1281,327,144,183,248,223,254,223,874,207,1,96,522,3,249,3,141,145,142,100,84,86,24,30,26,261,301,270,1410,671,1504,206,108,174,36,58,57,57,476,446,467,264,253,263,146,76,120,143.3333333,87.33333333,27.66666667,284,1071.833333,146.3333333,57.16666667,458,258.1666667,102.3333333,FALSE,"0",TRUE,"Forest_BAH_DEC_JUV_MON_1",FALSE,FALSE
"LGE-01","LGE","Lagoa Grande - EMPRAPA Petrolina","Jon Lloyd;Tomas F Domingues;Tiina Särkinen;Magna Soelma Beserra de Moura;Italo Coutinho","Rubens Manoel dos Santos;Francoise Yoko Ishida","BRA",-9.048028,-40.31975,0.5,100,50,NA,"rectangle",5,TRUE,NA,"fp","South America",TRUE,"Antonia Mirelle Marques Lopes;Isabelle Santiago Carneiro da Costa;Lucy Wells;Jeanderson da Silva Rocha",1.3,TRUE,"YYYY.DDD","2017.1975;2022.408",2017.1975,2022.408,5.2105,2,TRUE,98.31325301,TRUE,"Neotropics","Tropical Americas","Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Dry forest","Brazil",0.955444932,"Soelma","Forest","Arid_forest","Caatinga","Caatinga_DryForest",NA,"all_studies","DryForest","Caatinga","EMBRAPA","Lowland","Terra Firma","Mixed forest","Old-growth","Dry",NA,390,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,NA,NA,NA,"01/01/2012",NA,NA,NA,NA,NA,FALSE,493.1310226,-287.4211224,-328.5153743,460.9652351,0,0,FALSE,0,246,129,75,1482,328,158,170,257,227,260,223,588,134,3,84,316,14,245,22,137,142,140,202,202,199,38,46,46,216,286,223,1039,964,984,179,128,173,23,64,63,64,564,526,568,219,188,209,97,61,78,140.5,201,44.66666667,253.3333333,983.1666667,151.5,63.5,546.3333333,200.1666667,72.66666667,FALSE,"1",TRUE,"Forest_LGE_1",TRUE,FALSE
